iter	Passed	Remaining
0	190	94917
1	384	95674
2	586	97092
3	781	96943
4	999	98981
5	1189	97968
6	1373	96707
7	1557	95770
8	1782	97224
9	1982	97144
10	2197	97710
11	2395	97435
12	2608	97712
13	2802	97288
14	2994	96811
15	3114	94211
16	3313	94141
17	3500	93724
18	3701	93699
19	3899	93588
20	4098	93474
21	4290	93210
22	4468	92682
23	4659	92410
24	4847	92102
25	5046	92007
26	5217	91407
27	5346	90125
28	5541	90007
29	5730	89774
30	5906	89352
31	6098	89193
32	6296	89103
33	6454	88469
34	6635	88153
35	6835	88098
36	7027	87942
37	7208	87638
38	7393	87391
39	7575	87120
40	7791	87230
41	7980	87023
42	8164	86767
43	8347	86513
44	8533	86285
45	8700	85866
46	8888	85667
47	9073	85446
48	9259	85221
49	9460	85143
50	9654	85000
51	9858	84933
52	10050	84767
53	10245	84619
54	10401	84153
55	10607	84104
56	10832	84188
57	11010	83907
58	11275	84276
59	11493	84282
60	11711	84283
61	11933	84302
62	12130	84145
63	12341	84073
64	12528	83846
65	12745	83808
66	12942	83645
67	13161	83615
68	13370	83515
69	13554	83261
70	13754	83110
71	13940	82868
72	14129	82645
73	14286	82241
74	14493	82128
75	14694	81978
76	14922	81974
77	15126	81839
78	15343	81768
79	15536	81566
80	15757	81511
81	15977	81443
82	16204	81413
83	16421	81327
84	16637	81230
85	16842	81077
86	17058	80978
87	17249	80759
88	17445	80563
89	17648	80399
90	17844	80204
91	18034	79978
92	18224	79756
93	18413	79530
94	18594	79269
95	18773	79007
96	18968	78808
97	19169	78632
98	19352	78389
99	19544	78179
100	19763	78075
101	19968	77916
102	20167	77734
103	20376	77587
104	20587	77448
105	20790	77276
106	20982	77067
107	21169	76839
108	21356	76607
109	21581	76515
110	21926	76843
111	22119	76627
112	22309	76405
113	22494	76164
114	22676	75917
115	22870	75710
116	23065	75505
117	23229	75201
118	23433	75027
119	23617	74788
120	23810	74581
121	23995	74348
122	24193	74152
123	24396	73975
124	24591	73775
125	24817	73665
126	25016	73475
127	25215	73283
128	25413	73089
129	25597	72855
130	25797	72665
131	25985	72443
132	26180	72242
133	26351	71974
134	26490	71621
135	26685	71423
136	26897	71267
137	27096	71080
138	27291	70879
139	27499	70713
140	27735	70616
141	27921	70394
142	28106	70167
143	28298	69960
144	28498	69773
145	28691	69566
146	28876	69342
147	29077	69156
148	29272	68957
149	29457	68735
150	29657	68547
151	29885	68422
152	30103	68274
153	30290	68054
154	30482	67847
155	30703	67705
156	30864	67430
157	31049	67207
158	31263	67049
159	31450	66831
160	31647	66636
161	31867	66488
162	32038	66239
163	32219	66010
164	32429	65841
165	32619	65631
166	32859	65522
167	33047	65307
168	33254	65131
169	33568	65163
170	33776	64985
171	33972	64784
172	34163	64574
173	34371	64398
174	34568	64197
175	34767	64004
176	34977	63828
177	35175	63632
178	35393	63471
179	35601	63290
180	35806	63106
181	36001	62903
182	36234	62766
183	36431	62566
184	36632	62373
185	36846	62203
186	37046	62007
187	37249	61818
188	37433	61597
189	37642	61417
190	37861	61252
191	38074	61077
192	38280	60891
193	38498	60724
194	38696	60524
195	38898	60332
196	39113	60159
197	39304	59948
198	39511	59763
199	39710	59566
200	39901	59356
201	40099	59156
202	40282	58935
203	40474	58727
204	40685	58547
205	40798	58226
206	40995	58026
207	41204	57844
208	41406	57651
209	41613	57466
210	41810	57266
211	42014	57076
212	42233	56905
213	42440	56719
214	42642	56525
215	42845	56334
216	43057	56153
217	43255	55954
218	43450	55752
219	43688	55604
220	43926	55454
221	44300	55475
222	44520	55301
223	44809	55211
224	45048	55059
225	45310	54934
226	45608	54850
227	45893	54749
228	46161	54627
229	46381	54447
230	46596	54262
231	46867	54139
232	47084	53955
233	47337	53810
234	47551	53622
235	47801	53473
236	48032	53301
237	48247	53112
238	48471	52933
239	48687	52744
240	48924	52578
241	49119	52367
242	49341	52183
243	49528	51964
244	49854	51889
245	50126	51756
246	50345	51568
247	50556	51372
248	50782	51190
249	50990	50990
250	51204	50796
251	51414	50598
252	51644	50419
253	51879	50245
254	52109	50065
255	52336	49883
256	52565	49701
257	52797	49523
258	53021	49336
259	53276	49178
260	53487	48979
261	53730	48808
262	53936	48604
263	54155	48411
264	54358	48204
265	54569	48004
266	54786	47809
267	54984	47598
268	55191	47394
269	55400	47193
270	55620	47000
271	55830	46799
272	56044	46600
273	56259	46403
274	56480	46210
275	56714	46029
276	56942	45841
277	57159	45645
278	57364	45439
279	57557	45223
280	57779	45030
281	58008	44843
282	58211	44635
283	58442	44448
284	58635	44233
285	58857	44040
286	59066	43836
287	59278	43635
288	59497	43439
289	59716	43243
290	60083	43152
291	60354	42992
292	60552	42779
293	60747	42564
294	60958	42360
295	61177	42162
296	61393	41962
297	61604	41758
298	61839	41570
299	62053	41369
300	62289	41181
301	62518	40989
302	62737	40789
303	62931	40574
304	63176	40391
305	63411	40202
306	63614	39992
307	63841	39797
308	64048	39590
309	64265	39388
310	64476	39183
311	64686	38977
312	65016	38843
313	65222	38635
314	65461	38445
315	65664	38235
316	65871	38026
317	66088	37824
318	66304	37620
319	66520	37417
320	66738	37215
321	66950	37009
322	67158	36802
323	67370	36596
324	67619	36410
325	67837	36207
326	68046	36000
327	68270	35800
328	68521	35614
329	68731	35407
330	68966	35212
331	69196	35015
332	69440	34824
333	69696	34639
334	69931	34443
335	70120	34225
336	70320	34012
337	70528	33803
338	70752	33602
339	70982	33403
340	71205	33201
341	71424	32997
342	71647	32794
343	71847	32582
344	72049	32369
345	72287	32174
346	72589	32006
347	72929	31854
348	73199	31670
349	73413	31463
350	73625	31254
351	73826	31040
352	74054	30838
353	74289	30639
354	74497	30428
355	74692	30212
356	74892	29999
357	75078	29779
358	75272	29563
359	75479	29353
360	75679	29139
361	75884	28928
362	76052	28703
363	76264	28494
364	76461	28280
365	76653	28064
366	76857	27852
367	77065	27643
368	77282	27436
369	77476	27221
370	77670	27006
371	77852	26788
372	78045	26573
373	78240	26359
374	78454	26151
375	78637	25933
376	78825	25717
377	79010	25500
378	79186	25281
379	79370	25064
380	79572	24853
