iter	Logloss
0	0.6854166588
1	0.6788492806
2	0.6736353575
3	0.6675165012
4	0.6592359814
5	0.6542830907
6	0.6487493919
7	0.6429560543
8	0.6358378308
9	0.6317020259
10	0.6275000926
11	0.6222674537
12	0.6182918299
13	0.6158823479
14	0.6122747123
15	0.6096277875
16	0.6072426924
17	0.6045868493
18	0.6013955718
19	0.5981032691
20	0.5963590505
21	0.5940645959
22	0.5924953115
23	0.5904086035
24	0.5870733908
25	0.5854222115
26	0.5839943804
27	0.5822409161
28	0.5808159757
29	0.5796526008
30	0.5783466695
31	0.5770646297
32	0.5751098421
33	0.572836558
34	0.5718132728
35	0.5703943782
36	0.5693801026
37	0.5686282836
38	0.5670176077
39	0.5662603771
40	0.5647728995
41	0.5640687111
42	0.5633262313
43	0.5621066945
44	0.5611886248
45	0.5593680593
46	0.5588100042
47	0.5578762214
48	0.5571015217
49	0.5561275419
50	0.5548863149
51	0.5542780793
52	0.5533213611
53	0.5524661143
54	0.5513771726
55	0.5506234378
56	0.5500758866
57	0.5493363671
58	0.548637229
59	0.5474434773
60	0.5469316084
61	0.5464615689
62	0.546096855
63	0.5457356405
64	0.5451549936
65	0.5446267472
66	0.5438252048
67	0.5434804894
68	0.5427381472
69	0.5423014562
70	0.5413487052
71	0.5410409537
72	0.5408268357
73	0.5405996554
74	0.5400480047
75	0.5397481474
76	0.5394991514
77	0.5391542656
78	0.5386936973
79	0.5381571335
80	0.5378774738
81	0.5374850107
82	0.5371257305
83	0.5367546734
84	0.5364770472
85	0.5362242561
86	0.5358935011
87	0.5350566203
88	0.5346755353
89	0.5343003466
90	0.5340546581
91	0.5337021578
92	0.533448256
93	0.5329418282
94	0.532500079
95	0.5322433953
96	0.5317974781
97	0.5314432034
98	0.5310994744
99	0.5308760807
100	0.5305926114
101	0.5303392055
102	0.5298262314
103	0.5294904566
104	0.5290866436
105	0.5288081729
106	0.5285550005
107	0.5282508557
108	0.5281095644
109	0.5278475709
110	0.5275578249
111	0.5271808269
112	0.5269758874
113	0.5267523268
114	0.5265763687
115	0.5263271527
116	0.525959084
117	0.5257167122
118	0.5253858772
119	0.5250701222
120	0.5248242779
121	0.5245838482
122	0.5242537531
123	0.5240017052
124	0.5236430782
125	0.5233169713
126	0.5231080331
127	0.522760399
128	0.5225945577
129	0.5223394728
130	0.5219085611
131	0.5217177964
132	0.5216926326
133	0.5214251116
134	0.5211223269
135	0.5207799424
136	0.5205476753
137	0.5203121604
138	0.5200379611
139	0.5196637527
140	0.5194715631
141	0.5191823306
142	0.5189737674
143	0.5188384985
144	0.518616592
145	0.5183647905
146	0.5180888897
147	0.5178627965
148	0.5175605442
149	0.5172933801
150	0.5170369476
151	0.5168962965
152	0.5166955678
153	0.5164978711
154	0.5161882926
155	0.5159398882
156	0.515664091
157	0.5154635865
158	0.5151697633
159	0.5149649148
160	0.5147047685
161	0.5144889159
162	0.514335915
163	0.5141907822
164	0.5139320802
165	0.5137754559
166	0.5134422693
167	0.5131890781
168	0.5129629338
169	0.5127632074
170	0.5125946476
171	0.512432204
172	0.5121628755
173	0.5120312685
174	0.5118222812
175	0.5116873029
176	0.5115094614
177	0.5113021408
178	0.5111431378
179	0.5108838831
180	0.5107970312
181	0.5105632928
182	0.5103856844
183	0.510190026
184	0.509986577
185	0.509729328
186	0.5095474463
187	0.5093555614
188	0.5091932415
189	0.5090664013
190	0.5088961829
191	0.508652947
192	0.5085163819
193	0.5083289103
194	0.5081191033
195	0.5079597131
196	0.5077452549
197	0.5075529455
198	0.5074167171
199	0.50726298
200	0.5071318418
201	0.5069451791
202	0.5067922588
203	0.5065391875
204	0.5062517354
205	0.5061477529
206	0.5059941578
207	0.5057161555
208	0.5055101195
209	0.5052716331
210	0.5050309981
211	0.504877698
212	0.5047244136
213	0.5045237942
