iter	MultiClass
0	0.6842075034
1	0.6773245665
2	0.6700718791
3	0.6637451209
4	0.6570959332
5	0.6511010088
6	0.6463592154
7	0.6416399707
8	0.6369977394
9	0.6326568005
10	0.6287738003
11	0.6249199413
12	0.6210748766
13	0.6177678683
14	0.6145711801
15	0.6118462721
16	0.609311351
17	0.6067275832
18	0.6044568946
19	0.602700981
20	0.6009918287
21	0.5991302555
22	0.597295046
23	0.5955431367
24	0.5938248722
25	0.5921761414
26	0.5905038453
27	0.5891113272
28	0.587905539
29	0.5869088725
30	0.5856635108
31	0.5846555903
32	0.5830552078
33	0.5815768857
34	0.5800213551
35	0.5785869081
36	0.5770614655
37	0.5759731152
38	0.5746015483
39	0.573781638
40	0.57247805
41	0.5717458041
42	0.5710205332
43	0.5701473702
44	0.5693793685
45	0.5685437974
46	0.5678741718
47	0.5672371313
48	0.5665741765
49	0.5657316321
50	0.5649644914
51	0.5643978292
52	0.5637717437
53	0.5632850228
54	0.5626585827
55	0.5618936006
56	0.5612937876
57	0.5608621781
58	0.5602817829
59	0.5597380045
60	0.5594273901
61	0.5587530598
62	0.5583532867
63	0.5579669471
64	0.5575361288
65	0.5568467279
66	0.5563913348
67	0.5558391999
68	0.555101687
69	0.5547087386
70	0.5543460487
71	0.5539038801
72	0.5534290534
73	0.5528527834
74	0.5525725513
75	0.5519802122
76	0.5516883085
77	0.5514621519
78	0.55102746
79	0.5507170548
80	0.5504377418
81	0.550272439
82	0.5498580176
83	0.5494278104
84	0.5490938303
85	0.5486690055
86	0.5482097984
87	0.5479626995
88	0.5477309187
89	0.5473437058
90	0.5469938944
91	0.5464920001
92	0.546190474
93	0.5457923026
94	0.5456202797
95	0.5451883767
96	0.544841825
97	0.5446012869
98	0.5442383666
99	0.5439431056
100	0.5436931263
101	0.5433636242
102	0.5429430691
103	0.5425535257
104	0.5424372203
105	0.5422407549
106	0.54199102
107	0.5417479793
108	0.5414914628
109	0.541160688
110	0.5407866449
111	0.5403779909
112	0.5400345237
113	0.5397307804
114	0.5394067917
115	0.5390583735
116	0.5388873329
117	0.5386509166
118	0.5383121498
119	0.5381105796
120	0.5378594862
121	0.5375676442
122	0.5372878506
123	0.5370989599
124	0.5367584606
125	0.5364636102
126	0.5361884061
127	0.5359336336
128	0.535700526
129	0.5354546583
130	0.5352443796
131	0.535026973
132	0.5347530513
133	0.5345610326
134	0.5343430801
135	0.5341126904
136	0.5338011436
137	0.5334982015
138	0.5332975889
139	0.5330037831
140	0.5327755948
141	0.5325840392
142	0.5322639133
143	0.5319969703
144	0.5317195631
145	0.5314791551
146	0.5312070011
147	0.5308595582
148	0.5305569827
149	0.5302656469
150	0.5300512157
151	0.5298454165
152	0.5296993236
153	0.5292974962
154	0.5291579416
155	0.5290768616
156	0.5287328823
157	0.5284700803
158	0.5283602026
159	0.5281732058
160	0.5276734565
161	0.5274327388
162	0.5272078431
163	0.526954395
164	0.5267340865
165	0.5265045309
166	0.5262634058
167	0.5261396238
168	0.525900589
169	0.5256805267
170	0.5253103006
171	0.525121729
172	0.5248762481
173	0.5246367304
174	0.5244009613
175	0.5241074455
176	0.523921855
177	0.5237210575
178	0.5234721751
179	0.5232339209
180	0.5229367376
181	0.5227195894
182	0.5225318921
183	0.522357936
184	0.5219858908
185	0.5216855802
186	0.5214224737
187	0.5211025143
188	0.5207556752
189	0.5205929826
190	0.5203245499
191	0.5201873205
192	0.5200582867
193	0.5197263606
194	0.5195105465
195	0.519276161
196	0.5190838401
197	0.5188719971
198	0.5185898159
199	0.5182216374
200	0.5179048661
201	0.5177102326
202	0.5173493765
203	0.5171500466
204	0.5169240707
205	0.5166597334
206	0.5164513844
207	0.5162179834
208	0.5160480844
209	0.5158304578
210	0.5155693104
211	0.5152915871
212	0.514988571
213	0.5148207772
214	0.5146165226
215	0.5143231288
216	0.5140289843
217	0.5137713903
218	0.5135244138
219	0.5132098963
220	0.5129411374
221	0.5126756239
222	0.5124062845
223	0.5122208815
224	0.5120186221
225	0.5117970877
226	0.5115478431
227	0.5112681791
228	0.5110214708
229	0.5107628877
230	0.5105243124
231	0.5102669437
232	0.51003799
