iter	Passed	Remaining
0	268	133828
1	494	123137
2	727	120447
3	988	122606
4	1277	126496
5	1612	132766
6	1944	136921
7	2185	134388
8	2446	133454
9	2689	131779
10	2925	130066
11	3157	128394
12	3406	127619
13	3635	126202
14	3855	124669
15	4113	124442
16	4342	123386
17	4566	122273
18	4801	121552
19	5056	121359
20	5272	120261
21	5489	119261
22	5713	118489
23	5939	117797
24	6188	117586
25	6471	117979
26	6711	117570
27	6944	117061
28	7163	116342
29	7375	115547
30	7655	115813
31	7891	115418
32	8121	114928
33	8409	115263
34	8628	114633
35	8869	114316
36	9124	114184
37	9353	113714
38	9594	113416
39	9850	113285
40	10504	117602
41	10765	117395
42	11047	117415
43	11271	116817
44	11485	116135
45	11715	115628
46	11928	114967
47	12165	114555
48	12417	114289
49	12648	113836
50	12877	113373
51	13129	113118
52	13404	113050
53	13649	112738
54	13904	112503
55	14131	112044
56	14382	111780
57	14625	111452
58	14903	111395
59	15307	112251
60	15577	112104
61	15820	111765
62	16108	111738
63	16460	112139
64	16742	112046
65	17006	111832
66	17387	112369
67	17684	112346
68	17972	112260
69	18293	112374
70	18537	112006
71	18956	112687
72	19252	112612
73	19525	112403
74	19899	112766
75	20243	112935
76	20525	112755
77	20798	112527
78	21076	112319
79	21329	111977
80	21545	111451
81	21792	111089
82	22212	111598
83	22493	111397
84	22785	111247
85	23184	111607
86	23428	111218
87	23728	111093
88	23963	110664
89	24209	110289
90	24515	110183
91	24772	109860
92	25084	109777
93	25396	109690
94	25704	109580
95	26007	109448
96	26243	109030
97	26503	108718
98	26764	108409
99	27348	109393
100	27620	109115
101	27849	108667
102	28065	108174
103	28287	107710
104	28494	107193
105	28732	106799
106	28957	106359
107	29180	105913
108	29391	105433
109	29594	104925
110	29814	104486
111	30043	104079
112	30275	103685
113	30500	103273
114	30739	102909
115	30970	102521
116	31290	102430
117	31686	102578
118	31954	102308
119	32168	101866
120	32403	101495
121	32623	101080
122	32864	100730
123	32992	100042
124	33233	99699
125	33440	99260
126	33739	99091
127	34000	98814
128	34213	98396
129	34419	97963
130	34664	97644
131	34891	97272
132	35152	96998
133	35440	96799
134	35815	96834
135	36246	97012
136	36739	97345
137	37107	97340
138	37677	97854
139	38221	98283
140	39497	100563
141	40141	101201
142	40816	101898
143	41261	102007
144	41654	101982
145	42266	102481
146	42776	102721
147	43274	102924
148	43654	102836
149	44190	103110
150	44555	102980
151	45172	103420
152	45693	103632
153	46108	103595
154	46527	103560
155	47234	104158
156	47672	104150
157	48272	104488
158	48899	104873
